player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Everett Powell,27632,ED,NEW MEXICO,6,0,0,241,55.0,0,0,17,81.8,0.0,0,0,5.9,1,22,18,1,0,0,0,6,100.0,0.0,0,16.7,1,6,6,1
Jalen Johnson,27641,LB,GA TECH,13,0,0,176,66.8,1,11,102,33.5,6.9,7,0,7.8,2,316,106,14,0,1,7,34,44.3,17.6,6,14.7,1,79,35,9
Terrence Alexander,27710,CB,LSU,10,0,1,211,52.6,0,1,3,1.6,0.0,0,4,16.7,0,185,3,1,0,0,1,2,2.4,0.0,0,25.0,0,82,2,1
Lui Fa'amasino,27730,LB,NEW MEX ST,1,0,0,242,55.4,0,0,3,12.5,0.0,0,0,0.0,0,24,3,0,0,0,0,1,11.1,0.0,0,0.0,0,9,1,0
D'Angelo Ross,27732,CB,NEW MEXICO,12,0,1,241,58.6,0,1,9,2.8,0.0,0,4,5.6,0,397,11,1,0,0,0,2,2.0,0.0,0,0.0,0,149,3,0
Jarius Morehead,27752,S,NC STATE,13,0,0,248,67.4,0,0,7,2.0,28.6,2,1,0.0,0,506,10,0,0,0,0,2,2.5,50.0,1,0.0,0,163,4,0
Jalen Dalton,27753,DI,N CAROLINA,7,1,0,245,79.7,2,8,125,100.0,11.2,14,2,6.4,3,131,131,13,1,1,4,43,100.0,14.0,6,8.1,1,45,45,6
Taylor Robinson,27804,S,N TEXAS,12,0,0,251,60.1,1,0,6,1.4,0.0,0,3,8.3,0,487,7,1,0,1,0,2,1.4,0.0,0,25.0,0,148,2,1
Detric Bing-Dukes,27807,LB,OLE MISS,7,0,0,226,53.9,0,0,5,8.6,0.0,0,0,0.0,0,58,5,0,0,0,0,1,5.0,0.0,0,0.0,0,20,1,0
Quintin Wynne,27823,ED,N ILLINOIS,14,0,0,254,69.2,6,11,182,98.5,12.1,22,4,5.8,2,197,194,19,0,3,8,67,98.6,20.9,14,9.7,1,71,70,12
Sutton Smith,27832,ED,N ILLINOIS,14,1,1,254,91.0,12,38,467,99.6,15.2,71,4,8.6,15,500,498,65,1,4,22,180,99.5,22.2,40,13.9,12,192,191,38
Armon Watts,27844,DI,ARKANSAS,12,2,0,111,88.4,2,15,251,100.0,11.6,29,0,6.6,8,268,268,25,2,1,11,110,100.0,18.2,20,10.9,6,116,116,18
O.J. Smith,27891,DI,MINNESOTA,6,0,0,225,53.7,0,2,75,100.0,0.0,0,0,1.3,0,82,82,2,0,0,2,20,100.0,0.0,0,5.0,0,21,21,2
Joe Gaziano,27949,ED,NWESTERN,14,2,0,256,82.0,13,28,391,82.4,13.3,52,0,7.5,9,500,412,50,0,2,18,129,96.5,19.4,25,10.9,4,144,139,24
Trent Goens,27950,ED,NWESTERN,14,3,0,256,66.6,4,11,191,91.4,7.3,14,1,6.0,4,221,202,19,1,0,4,62,97.1,9.7,6,6.5,2,69,67,6
Fred Wyatt,27951,DI,NWESTERN,14,0,0,256,53.0,0,2,259,99.3,1.2,3,0,0.4,0,274,272,2,0,0,1,58,98.4,1.7,1,0.9,0,61,60,1
Alonzo Mayo,27952,CB,NWESTERN,6,0,0,256,55.4,0,0,2,1.6,0.0,0,0,0.0,0,189,3,0,0,0,0,2,4.7,0.0,0,0.0,0,43,2,0
Nathan Fox,27953,LB,NWESTERN,1,0,0,256,63.1,0,1,1,14.3,0.0,0,0,50.0,0,7,1,1,0,0,0,0,,,0,,0,0,0,0
Trae Williams,27962,CB,NWESTERN,10,0,0,256,72.6,0,2,7,2.5,0.0,0,1,28.6,1,283,7,3,0,0,2,3,3.3,0.0,0,66.7,1,90,3,3
Austin Exford,27965,S,APP STATE,13,0,0,108,53.4,0,0,5,2.2,0.0,0,0,0.0,0,226,5,0,0,0,0,2,3.1,0.0,0,0.0,0,65,2,0
Robert Landers,28064,DI,OHIO STATE,13,0,0,260,72.8,5,4,211,100.0,7.6,16,3,2.6,1,227,227,10,0,3,2,74,100.0,9.5,7,3.4,0,82,82,5
DaVon Hamilton,28072,DI,OHIO STATE,14,0,0,260,69.7,3,5,173,99.5,8.7,15,2,2.3,0,188,187,8,0,1,3,51,100.0,17.6,9,3.9,0,60,60,4
Jashon Cornell,28074,ED,OHIO STATE,14,0,0,260,53.9,1,1,131,98.6,2.3,3,1,1.5,1,144,142,3,0,1,0,41,97.9,2.4,1,3.7,1,47,46,2
Dre'Mont Jones,28075,DI,OHIO STATE,14,2,3,260,90.4,15,27,465,100.0,12.9,60,9,6.7,10,500,500,52,1,7,15,163,100.0,18.4,30,10.4,6,181,181,28
Josh Norwood,28076,CB,W VIRGINIA,12,0,0,343,55.2,0,1,4,1.9,0.0,0,5,12.5,0,359,7,1,0,0,0,1,4.2,0.0,0,0.0,0,48,2,0
Rodjay Burns,28078,CB,LOUISVILLE,10,0,0,210,54.2,0,0,8,3.9,0.0,0,0,0.0,0,206,8,0,0,0,0,4,5.9,0.0,0,0.0,0,68,4,0
Justin Hilliard,28079,LB,OHIO STATE,6,2,0,260,71.5,0,0,5,9.6,0.0,0,0,0.0,0,52,5,0,0,0,0,1,11.1,0.0,0,0.0,0,9,1,0
Damon Arnette,28080,CB,OHIO STATE,13,0,1,260,53.7,0,0,5,2.3,0.0,0,6,0.0,0,342,8,0,0,0,0,0,0.0,,0,,0,118,0,0
Malik Harrison,28081,LB,OHIO STATE,13,2,0,260,72.2,0,18,82,17.0,12.2,10,1,17.1,5,530,90,23,1,0,10,29,17.6,17.2,5,27.6,3,187,33,13
Keandre Jones,28092,LB,OHIO STATE,3,0,0,260,64.6,0,1,5,27.8,0.0,0,0,30.0,1,18,5,2,0,0,0,2,50.0,0.0,0,0.0,0,4,2,0
Neville Gallimore,28094,DI,OKLAHOMA,13,0,0,261,75.0,3,18,329,100.0,10.3,34,2,4.1,3,347,347,24,0,0,10,101,100.0,13.9,14,5.9,1,109,109,11
Mark Jackson Jr.,28095,ED,OKLAHOMA,10,0,0,261,85.4,4,19,170,60.3,21.2,36,0,9.7,5,292,176,28,0,3,14,65,68.7,33.8,22,17.7,3,99,68,20
Jamey Mosley,28100,ED,ALABAMA,11,1,0,103,63.6,1,1,52,91.2,5.8,3,0,5.8,2,57,52,4,1,1,1,21,91.3,9.5,2,9.5,1,23,21,3
Mufu Taiwo,28144,DI,DOMINION,11,1,0,263,62.4,1,3,106,100.0,4.7,5,0,1.9,0,114,114,4,1,0,2,24,100.0,12.5,3,4.2,0,27,27,2
Jamez Brickhouse,28145,CB,DOMINION,10,0,0,263,60.0,0,0,0,0.6,,0,5,,0,174,1,0,0,0,0,0,0.0,,0,,0,45,0,0
Kevin Bletzer,28156,LB,BOSTON COL,10,1,0,121,69.8,0,3,18,22.1,5.6,1,1,8.3,0,86,19,3,0,0,0,7,26.7,0.0,0,0.0,0,30,8,0
Kane Miskel,28163,CB,DOMINION,9,0,0,263,64.5,0,0,7,4.1,0.0,0,1,14.3,1,171,7,1,0,0,0,2,3.7,0.0,0,50.0,1,54,2,1
Jake Khoury,28167,DI,BUFFALO,6,0,0,126,60.9,0,1,24,100.0,4.2,1,0,2.1,0,24,24,1,0,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Quentin Tartabull,28215,S,CAL,9,0,0,130,55.6,0,1,5,6.1,0.0,0,0,10.0,0,82,5,1,0,0,0,2,8.3,0.0,0,0.0,0,24,2,0
Ray Ellis,28231,DI,FAU,12,0,0,165,61.3,0,4,94,100.0,6.4,6,1,2.1,0,99,99,4,0,0,1,21,100.0,9.5,2,2.4,0,22,22,1
Gus Cumberlander,28247,DI,OREGON,11,0,0,264,72.5,1,7,104,100.0,11.5,12,1,7.7,4,107,107,12,0,1,4,58,100.0,12.1,7,11.2,4,59,59,9
Drayton Carlberg,28248,DI,OREGON,13,1,0,264,74.7,4,9,187,100.0,8.0,15,2,5.1,3,200,200,16,0,4,6,67,100.0,13.4,9,11.9,3,73,73,13
A.J. Hotchkins,28250,LB,UTEP,12,0,0,330,68.7,0,7,82,22.9,6.1,5,1,12.8,7,385,88,14,0,0,4,34,55.2,11.8,4,23.5,6,67,37,10
Troy Dye,28251,LB,OREGON,13,5,0,264,71.8,4,6,75,14.9,6.7,5,2,8.0,1,517,77,11,1,1,3,24,13.1,12.5,3,12.5,1,191,25,5
Gary Baker,28252,DI,OREGON,13,1,0,264,55.3,0,9,168,100.0,4.8,8,0,2.7,0,180,180,9,0,0,3,34,100.0,14.7,5,4.4,0,36,36,3
Keith Simms,28255,LB,OREGON,6,0,0,264,56.7,0,3,27,40.9,7.4,2,0,5.6,0,66,27,3,0,0,3,14,66.7,14.3,2,10.7,0,21,14,3
Kain Daub,28279,ED,FAU,6,0,0,165,52.5,0,1,36,100.0,0.0,0,0,1.4,0,37,37,1,0,0,1,12,100.0,0.0,0,4.2,0,12,12,1
Shareef Miller,28307,ED,PENN STATE,13,0,2,266,72.4,6,31,330,95.4,12.7,42,6,7.4,6,366,349,43,0,2,20,154,96.6,16.9,26,9.7,4,174,168,26
Kevin Givens,28308,DI,PENN STATE,12,1,1,266,73.0,3,22,315,100.0,9.5,30,1,5.2,4,333,333,29,0,2,13,153,100.0,11.8,18,6.9,3,165,165,18
Robert Windsor,28310,DI,PENN STATE,12,0,1,266,74.3,4,16,295,100.0,10.5,31,10,6.1,8,311,311,28,0,1,13,121,100.0,14.9,18,9.9,5,130,130,19
Garrett Taylor,28311,S,PENN STATE,13,0,0,266,59.1,0,2,10,3.0,0.0,0,1,10.0,0,372,11,2,0,0,1,5,2.9,0.0,0,10.0,0,173,5,1
Ian Bush,28331,DI,GA SOUTHRN,12,0,0,174,79.0,0,9,134,100.0,11.2,15,0,4.9,2,142,142,11,0,0,2,28,100.0,10.7,3,7.1,1,29,29,3
Shane Roy,28366,DI,PITTSBURGH,14,1,0,268,60.0,1,4,203,99.1,1.5,3,1,1.7,1,219,217,6,0,1,0,56,96.9,0.0,0,2.7,1,64,62,2
Roe Wilkins,28429,ED,RICE,13,0,0,275,66.2,2,19,317,98.8,7.9,25,0,3.6,1,333,329,22,0,0,11,108,99.1,13.9,15,6.0,1,112,111,12
Myles Adams,28430,DI,RICE,13,1,0,275,65.2,2,16,220,98.7,7.3,16,0,5.5,3,232,229,21,0,1,11,82,100.0,14.6,12,9.8,2,86,86,14
Najee Clayton,28437,ED,W MICHIGAN,12,2,1,347,64.6,2,11,210,88.0,5.7,12,2,5.0,4,250,220,17,0,0,6,80,94.4,6.3,5,7.5,3,89,84,9
Jermaine Sheriff,28469,DI,FIU,13,0,0,166,60.2,0,4,161,100.0,3.1,5,1,2.5,2,167,167,6,0,0,3,70,100.0,5.7,4,5.0,2,71,71,5
A.J. Turner,28484,HB,S CAROLINA,2,0,0,289,58.3,0,0,1,8.3,0.0,0,0,0.0,0,12,1,0,0,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Kobe Smith,28488,DI,S CAROLINA,13,0,0,289,62.4,1,9,178,99.5,5.6,10,0,3.9,2,192,191,12,0,0,5,46,100.0,10.9,5,7.6,1,49,49,6
Kris Harris,28493,LB,FAU,3,0,0,165,60.0,0,0,1,7.7,0.0,0,0,0.0,0,13,1,0,0,0,0,1,10.0,0.0,0,0.0,0,10,1,0
Markel Winters,28516,ED,OLE MISS,6,0,0,226,61.3,2,1,75,95.2,5.3,4,0,8.7,5,84,80,8,0,1,1,21,95.8,14.3,3,14.3,2,24,23,4
Matt Bahr,28617,LB,KENT STATE,11,0,0,201,68.2,1,6,35,11.8,5.7,2,1,18.6,3,304,36,10,0,1,3,16,17.7,6.3,1,25.0,2,96,17,6
Darius West,28638,S,KENTUCKY,13,0,0,202,54.4,0,1,6,1.4,0.0,0,3,8.3,0,418,6,1,0,0,1,2,1.1,0.0,0,25.0,0,185,2,1
De'Monte Ruth,28640,CB,IOWA STATE,9,0,0,193,57.7,0,0,5,4.4,0.0,0,2,0.0,0,114,5,0,0,0,0,0,0.0,,0,,0,20,0,0
Sam Sizelove,28642,LB,KANSAS ST,7,0,0,199,62.0,0,1,8,7.0,12.5,1,0,6.3,0,114,8,1,0,0,0,1,4.8,0.0,0,0.0,0,21,1,0
Will Dawkins,28645,S,UAB,10,0,0,321,57.7,1,0,2,2.1,0.0,0,0,25.0,0,94,2,1,0,0,0,0,0.0,,0,,0,30,0,0
Cornelius Sturghill,28784,CB,LOUISVILLE,12,0,0,210,65.8,0,2,4,1.7,0.0,0,0,25.0,0,230,4,2,0,0,0,1,1.3,0.0,0,0.0,0,80,1,0
Dylan Jackson,28846,DI,STANFORD,11,1,0,300,55.5,1,10,287,100.0,3.5,10,0,2.3,1,296,296,12,0,0,8,95,100.0,4.2,4,5.3,1,97,97,9
Sean Barton,28847,LB,STANFORD,13,0,1,300,62.4,3,6,59,15.6,6.8,4,1,12.7,3,390,61,12,0,2,3,34,21.2,11.8,4,10.3,1,165,35,6
Joseph Broadnax Jr.,28850,DI,TCU,7,0,1,305,56.2,1,4,129,100.0,3.9,5,2,1.9,0,137,137,5,0,1,1,53,100.0,3.8,2,1.9,0,57,57,2
Richard Moore,28853,LB,SMU,12,0,0,287,62.7,4,13,107,29.8,7.5,8,4,14.5,7,376,112,24,0,0,4,28,32.2,14.3,4,21.4,4,90,29,8
Bryan London II,28856,LB,TEXAS ST,12,3,0,314,71.3,2,5,41,12.1,9.8,4,1,8.5,0,363,44,7,0,1,3,20,22.8,15.0,3,10.0,0,101,23,4
Diamon Cannon,28863,LB,TULSA,11,1,0,320,53.8,1,4,66,22.1,1.5,1,1,5.3,1,317,70,6,0,0,2,24,50.0,4.2,1,8.3,1,50,25,3
A.J. Wooten,28905,DI,UCF,13,0,0,323,51.5,0,10,230,100.0,1.3,3,0,2.6,1,242,242,11,0,0,9,112,100.0,2.7,3,4.9,1,118,118,10
