player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Alden Tofa,51983,ED,BYU,7,0,0,128,59.1,0,2,29,100.0,6.9,2,0,3.4,0,29,29,2,0,0,2,15,100.0,13.3,2,6.7,0,15,15,2
Earl Tuioti-Mariner,51992,DI,BYU,13,1,0,128,64.8,1,10,123,100.0,11.4,14,0,4.5,0,128,128,11,0,1,5,53,100.0,15.1,8,5.7,0,55,55,6
Khyiris Tonga,52000,DI,BYU,13,1,0,128,63.8,2,8,232,99.6,5.2,12,1,3.0,2,245,244,12,0,1,3,83,100.0,6.0,5,3.6,1,90,90,5
Lorenzo Fauatea,52005,DI,BYU,13,1,0,128,59.5,0,5,164,100.0,4.3,7,0,3.4,3,175,175,8,0,0,4,62,100.0,4.8,3,6.5,2,66,66,6
Darius Campbell,52022,CB,COLO STATE,9,1,0,144,73.3,1,1,8,4.6,12.5,1,1,25.0,1,174,8,3,0,0,1,5,10.0,20.0,1,30.0,1,50,5,2
Ellison Hubbard,52025,DI,COLO STATE,12,0,0,144,62.4,3,6,236,100.0,5.5,13,1,3.2,3,248,248,12,0,0,4,77,100.0,7.8,6,3.9,1,79,79,5
Manny Jones,52026,ED,COLO STATE,10,0,1,144,68.7,7,15,187,97.1,10.2,19,4,7.5,3,204,198,25,0,2,6,51,96.4,19.6,10,9.8,1,55,53,9
Jamori Fox,52030,DI,COLO STATE,1,0,0,144,60.0,0,0,1,100.0,0.0,0,1,0.0,0,1,1,0,0,0,0,0,,,0,,0,0,0,0
Livingston Paogofie,52039,DI,COLO STATE,12,0,0,144,64.8,1,2,113,99.2,8.0,9,0,1.3,0,123,122,3,0,1,2,31,100.0,16.1,5,4.8,0,35,35,3
Tanner Clem,52047,ED,COLO STATE,1,0,0,144,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,,,0,,0,0,0,0
Azia Se'ei,52053,DI,HAWAII,7,0,0,180,63.5,3,1,56,100.0,5.4,3,0,3.6,0,56,56,4,0,2,0,7,100.0,14.3,1,14.3,0,7,7,2
Kana'i Picanco,52070,LB,HAWAII,10,0,0,180,74.1,0,1,8,11.1,25.0,2,0,18.8,1,72,8,2,0,0,0,3,15.0,0.0,0,33.3,1,20,3,1
Makai Manuwai,52073,DI,HAWAII,6,0,0,180,58.9,0,1,18,100.0,5.6,1,2,2.8,0,20,20,1,0,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Paul Scott,52078,LB,HAWAII,5,0,0,180,57.6,0,0,3,10.3,0.0,0,0,0.0,0,29,3,0,0,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Penei Pavihi,52079,LB,HAWAII,14,0,0,180,56.9,1,4,34,10.2,8.8,3,0,10.3,1,343,35,6,0,0,3,16,14.2,18.8,3,9.4,0,120,17,3
Alex Piechocki,52086,ED,UMASS,3,0,0,216,53.5,0,1,9,100.0,11.1,1,0,5.6,0,9,9,1,0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Caeleb Washington,52090,ED,UMASS,10,0,0,216,65.0,1,5,51,100.0,7.8,4,0,5.9,0,54,54,6,0,0,2,9,100.0,22.2,2,11.1,0,9,9,2
Chinedu Ogbonna,52091,LB,UMASS,12,1,0,216,73.2,7,4,106,37.1,9.4,10,1,7.1,2,299,111,13,0,3,1,48,58.6,12.5,6,6.3,1,87,51,5
Chris DiTommaso,52092,DI,UMASS,10,0,0,216,55.4,0,1,57,100.0,0.0,0,0,0.9,0,60,60,1,0,0,1,12,100.0,0.0,0,4.2,0,12,12,1
Chris Hunt,52093,CB,UMASS,9,0,0,216,60.0,0,0,1,1.4,0.0,0,1,0.0,0,70,1,0,0,0,0,0,0.0,,0,,0,23,0,0
Claudin Cherelus,52094,LB,UMASS,3,0,0,216,62.7,1,1,4,16.0,0.0,0,0,25.0,0,25,4,2,0,0,0,3,50.0,0.0,0,0.0,0,6,3,0
Cole McCubrey,52095,LB,UMASS,7,0,0,216,72.1,2,2,14,14.6,7.1,1,0,14.3,0,103,15,4,0,0,2,6,27.3,16.7,1,16.7,0,22,6,2
Jake Byczko,52099,ED,UMASS,12,0,0,216,65.0,1,11,252,99.3,4.4,11,0,4.4,5,267,265,17,0,0,6,76,98.8,9.2,7,7.9,3,81,80,9
Mike Ruane,52109,LB,UMASS,7,0,0,216,56.9,0,4,23,55.6,4.3,1,0,8.7,0,45,25,4,0,0,2,7,70.0,0.0,0,14.3,0,10,7,2
Tyler Hayes,52112,S,UMASS,12,0,1,216,54.8,0,0,10,4.2,0.0,0,4,0.0,0,262,11,0,0,0,0,2,4.0,0.0,0,0.0,0,75,3,0
Tyris Lebeau,52113,LB,UMASS,2,0,0,216,56.7,0,0,3,21.4,0.0,0,0,0.0,0,14,3,0,0,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Xavier Steele,52115,LB,UMASS,2,0,0,216,63.8,0,1,8,30.8,12.5,1,0,6.3,0,26,8,1,0,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Clay Cordasco,52126,G,OREGON ST,1,0,1,265,60.0,0,0,1,100.0,0.0,0,3,0.0,0,1,1,0,0,0,0,0,,,0,,0,0,0,0
Isaiah Dunn,52129,CB,OREGON ST,7,1,0,265,65.8,0,1,6,3.0,0.0,0,2,8.3,0,233,7,1,0,0,0,3,4.6,0.0,0,0.0,0,87,4,0
Jaelen Bush,52132,DI,OREGON ST,2,0,0,265,66.7,0,0,3,100.0,33.3,1,0,0.0,0,3,3,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jeffrey Manning Jr.,52134,S,OREGON ST,12,0,0,265,60.0,0,1,1,0.6,0.0,0,0,50.0,0,178,1,1,0,0,0,0,0.0,,0,,0,59,0,0
Justin Gardner,52135,CB,OREGON ST,1,0,0,265,60.0,0,0,1,5.3,0.0,0,0,0.0,0,19,1,0,0,0,0,0,0.0,,0,,0,5,0,0
Kaleb Hayes,52137,CB,OREGON ST,12,0,0,265,48.8,1,2,8,3.0,0.0,0,3,18.8,0,300,9,3,0,1,2,6,5.7,0.0,0,25.0,0,105,6,3
TraJon Cotton,52147,S,OREGON ST,2,0,0,265,66.7,0,1,2,28.6,0.0,0,0,25.0,0,7,2,1,0,0,1,1,33.3,0.0,0,50.0,0,3,1,1
George Nyakwol,52203,S,RICE,13,0,0,275,59.9,0,1,19,4.5,5.3,1,1,7.9,1,440,20,2,0,0,1,6,3.6,16.7,1,25.0,1,167,6,2
Kenneth Orji,52209,ED,RICE,4,0,0,275,56.3,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Trey Schuman,52216,ED,RICE,13,0,0,275,56.1,1,1,71,98.7,1.4,1,0,1.4,0,77,76,2,0,1,1,24,96.2,4.2,1,4.2,0,26,25,2
Alii Matau,52219,LB,S JOSE ST,4,1,0,285,66.2,0,0,23,26.0,4.3,1,0,0.0,0,96,25,0,0,0,0,6,43.8,16.7,1,0.0,0,16,7,0
Christian Johnson,52228,DI,S JOSE ST,8,0,0,285,56.5,1,1,47,96.0,2.1,1,0,2.1,0,50,48,2,0,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Gurdeep Chopra,52233,DI,S JOSE ST,1,0,0,285,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,,,0,,0,0,0,0
Hadari Darden,52234,LB,S JOSE ST,7,0,0,285,62.3,0,1,29,26.1,3.4,1,0,1.7,0,111,29,1,0,0,0,4,44.4,25.0,1,0.0,0,9,4,0
Isaiah Ossai,52236,LB,S JOSE ST,3,0,0,285,59.2,0,0,1,8.3,0.0,0,0,0.0,0,12,1,0,0,0,0,0,0.0,,0,,0,1,0,0
Jamaar Hardy,52241,DI,S JOSE ST,4,0,0,285,67.4,0,0,4,100.0,25.0,1,0,0.0,0,4,4,0,0,0,0,0,,,0,,0,0,0,0
John Toussaint,52245,CB,S JOSE ST,12,0,3,285,47.5,0,0,7,2.3,0.0,0,4,0.0,0,396,9,0,0,0,0,5,6.3,0.0,0,0.0,0,80,5,0
Sailosi Latu,52255,ED,S JOSE ST,4,0,0,285,51.8,0,3,115,100.0,2.6,3,0,1.3,0,120,120,3,0,0,2,27,100.0,7.4,2,3.7,0,28,28,2
Tre White,52261,CB,S JOSE ST,7,0,0,285,53.0,0,0,2,2.2,0.0,0,1,0.0,0,93,2,0,0,0,0,0,0.0,,0,,0,26,0,0
Tysyn Parker,52264,LB,S JOSE ST,6,0,0,285,60.5,1,3,13,16.9,7.7,1,0,15.4,0,77,13,4,0,1,3,8,38.1,0.0,0,25.0,0,21,8,4
Caleb Phillips,52265,ED,STANFORD,2,0,0,300,67.9,0,1,2,66.7,50.0,1,0,25.0,0,3,2,1,0,0,1,2,100.0,50.0,1,25.0,0,2,2,1
Dalyn Wade-Perry,52268,DI,STANFORD,12,0,0,300,67.4,1,8,98,100.0,10.2,10,1,4.6,0,103,103,9,0,0,6,34,100.0,20.6,7,8.8,0,38,38,6
Dylan Boles,52271,DI,STANFORD,3,0,0,300,52.9,1,1,10,100.0,0.0,0,0,10.0,0,10,10,2,0,1,1,5,100.0,0.0,0,20.0,0,5,5,2
Gabe Reid,52273,ED,STANFORD,13,0,0,300,69.4,6,19,233,82.8,9.9,23,1,8.4,7,285,236,32,0,4,14,110,90.2,13.6,15,12.7,5,123,111,23
Noah Williams,52278,S,STANFORD,6,0,0,300,58.2,0,1,2,6.9,0.0,0,0,25.0,0,29,2,1,0,0,1,2,13.3,0.0,0,25.0,0,15,2,1
Paulson Adebo,52280,CB,STANFORD,13,0,0,300,65.1,1,1,6,1.2,0.0,0,2,16.7,0,519,6,2,0,0,0,0,0.0,,0,,0,206,0,0
Ryan Johnson,52282,DI,STANFORD,6,0,0,300,53.7,0,0,31,100.0,0.0,0,0,0.0,0,31,31,0,0,0,0,13,100.0,0.0,0,0.0,0,13,13,0
Thunder Keck,52285,ED,STANFORD,2,0,0,300,52.6,1,1,15,100.0,6.7,1,1,6.7,0,15,15,2,0,1,1,8,100.0,12.5,1,12.5,0,8,8,2
Bentlee Sanders,52291,S,USF,6,0,0,327,65.2,0,0,5,4.1,20.0,1,1,0.0,0,123,5,0,0,0,0,2,4.3,0.0,0,0.0,0,47,2,0
Keirston Johnson,52307,LB,USF,6,0,0,327,61.2,1,3,14,35.7,7.1,1,0,14.3,0,42,15,4,0,0,1,2,27.3,50.0,1,25.0,0,11,3,1
Kelvin Pinkney,52308,DI,USF,11,0,0,327,61.6,0,2,108,100.0,2.8,3,1,1.9,1,118,118,3,0,0,2,33,100.0,6.1,2,6.1,1,34,34,3
Kevin Kegler,52310,DI,USF,12,0,0,327,66.4,1,12,234,100.0,6.8,16,2,4.5,4,246,246,17,0,1,4,84,100.0,8.3,7,5.4,2,89,89,7
Mekhi LaPointe,52315,S,USF,9,0,0,327,58.9,0,0,2,1.5,0.0,0,0,0.0,0,131,2,0,0,0,0,1,2.0,0.0,0,0.0,0,49,1,0
Nick Roberts,52318,S,USF,12,0,0,327,72.5,1,1,4,1.0,0.0,0,1,25.0,0,382,4,2,0,0,0,1,0.8,0.0,0,0.0,0,128,1,0
Malik Vann,52555,ED,CINCINNATI,13,0,0,138,58.8,0,3,68,100.0,7.4,5,0,5.1,2,70,70,5,0,0,2,32,100.0,6.3,2,6.3,1,33,33,3
Xavier Peters,52819,ED,FLORIDA ST,1,1,0,167,68.8,0,1,3,100.0,0.0,0,0,16.7,0,3,3,1,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jake Bracher,52971,LB,AKRON,1,0,0,102,59.9,0,0,1,16.7,0.0,0,0,0.0,0,6,1,0,0,0,0,0,0.0,,0,,0,3,0,0
Jevon Henderson,53477,ED,BOWL GREEN,1,0,0,122,62.8,0,1,13,100.0,15.4,2,0,3.8,0,14,14,1,0,0,0,7,100.0,14.3,1,0.0,0,7,7,0
Anthony Chesley,54369,CB,COAST CAR,7,1,1,141,54.3,0,3,20,10.3,0.0,0,2,7.5,0,204,21,3,0,0,1,9,13.2,0.0,0,5.6,0,76,10,1
Mallory Claybourne,54370,CB,COAST CAR,12,0,1,141,67.8,1,1,2,0.6,50.0,1,5,50.0,0,309,2,2,0,0,1,1,0.9,100.0,1,50.0,0,111,1,1
Chandler Kryst,54375,CB,COAST CAR,10,0,0,141,55.1,0,2,25,12.7,0.0,0,1,8.0,1,204,26,3,0,0,1,8,13.6,0.0,0,6.3,0,66,9,1
Preston Carey,54376,CB,COAST CAR,6,0,1,141,55.0,0,0,3,1.9,0.0,0,1,0.0,0,154,3,0,0,0,0,1,1.6,0.0,0,0.0,0,63,1,0
Alim Muhammad,54384,CB,VANDERBILT,9,0,0,333,53.0,0,1,6,4.4,0.0,0,0,8.3,0,136,6,1,0,0,1,3,8.3,0.0,0,16.7,0,36,3,1
Jeff Gunter,54402,ED,COAST CAR,12,1,2,141,68.6,5,14,305,98.8,9.5,29,5,5.4,7,321,317,26,0,1,6,111,98.3,14.4,16,6.8,4,119,117,11
Jalin Walker,54404,DI,COAST CAR,10,0,0,141,56.3,0,1,49,98.0,2.0,1,0,1.0,0,50,49,1,0,0,0,16,100.0,0.0,0,0.0,0,16,16,0
Michael Norman,54405,DI,COAST CAR,3,0,0,141,58.0,0,0,9,100.0,0.0,0,0,0.0,0,9,9,0,0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Aykelle Cross,54407,DI,COAST CAR,1,0,0,141,58.5,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
C.J. Brewer,54409,DI,COAST CAR,9,1,0,141,57.7,0,4,129,98.5,3.1,4,0,1.6,0,135,133,4,1,0,4,56,100.0,7.1,4,3.6,0,58,58,4
Tarron Jackson,54410,ED,COAST CAR,12,0,2,141,80.5,7,21,296,98.1,14.2,42,4,6.4,5,313,307,33,0,2,16,112,100.0,25.0,28,11.6,4,118,118,22
Jonathan Clayton,54411,DI,COAST CAR,12,1,0,141,57.9,1,5,218,100.0,3.2,7,0,1.4,0,227,227,6,0,1,4,73,100.0,6.8,5,3.4,0,77,77,5
Alex Spillum,54414,S,COAST CAR,2,0,0,141,59.0,0,1,2,11.1,0.0,0,0,25.0,0,18,2,1,0,0,0,0,0.0,,0,,0,7,0,0
James Heft,54454,LB,COAST CAR,6,0,0,141,59.0,1,0,1,4.0,0.0,0,0,50.0,0,25,1,1,0,0,0,1,14.3,0.0,0,0.0,0,7,1,0
Silas Kelly,54456,LB,COAST CAR,11,1,0,141,61.9,1,10,41,15.7,9.8,4,0,15.9,1,274,43,12,1,0,3,18,23.0,5.6,1,13.9,1,87,20,4
Laqavious Paul,54458,LB,COAST CAR,4,0,0,141,64.4,0,0,7,8.3,0.0,0,0,14.3,1,84,7,1,0,0,0,2,9.1,0.0,0,0.0,0,22,2,0
Michael Makins,54465,LB,COAST CAR,8,0,0,141,55.4,0,0,8,8.0,0.0,0,2,0.0,0,100,8,0,0,0,0,4,11.1,0.0,0,0.0,0,36,4,0
E.J. Porter,54466,LB,COAST CAR,3,1,0,141,66.6,0,0,4,16.7,0.0,0,0,0.0,0,30,5,0,0,0,0,0,10.0,,0,,0,10,1,0
Myles Olufemi,54467,ED,COAST CAR,7,0,0,141,63.0,0,4,39,100.0,7.7,3,0,5.1,0,40,40,4,0,0,2,9,100.0,11.1,1,11.1,0,10,10,2
Derambez Drinkard,54516,CB,COAST CAR,5,0,0,141,67.3,0,0,1,1.8,100.0,1,0,0.0,0,56,1,0,0,0,0,1,3.2,100.0,1,0.0,0,31,1,0
Fitz Wattley,54524,S,COAST CAR,11,0,0,141,56.3,0,1,26,8.4,0.0,0,4,5.8,1,311,26,2,0,0,1,14,12.0,0.0,0,10.7,1,117,14,2
Jave Brown,54527,S,COAST CAR,10,0,0,141,64.4,0,1,12,6.4,8.3,1,1,12.5,1,188,12,2,0,0,1,6,8.1,16.7,1,25.0,1,74,6,2
Brayden Matts,54531,S,COAST CAR,6,0,0,141,85.4,0,1,5,6.5,40.0,2,0,30.0,1,93,6,2,0,0,0,2,8.3,0.0,0,50.0,1,24,2,1
Aapri Washington,55013,CB,BUFFALO,12,0,0,126,59.1,0,1,1,0.5,0.0,0,0,50.0,0,212,1,1,0,0,0,0,0.0,,0,,0,91,0,0
Wankeith Akin Jr.,55014,CB,BUFFALO,9,0,0,126,55.6,0,0,1,1.9,0.0,0,0,0.0,0,104,2,0,0,0,0,1,4.2,0.0,0,0.0,0,48,2,0
Malcolm Koonce,55015,ED,BUFFALO,14,0,1,126,75.1,5,23,259,98.5,14.7,38,4,6.9,4,273,269,32,0,5,17,127,99.2,22.8,29,11.8,4,132,131,26
Frendy Darelus,55018,ED,BUFFALO,6,0,0,126,58.9,0,2,19,100.0,0.0,0,0,5.3,0,19,19,2,0,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Tim Terry,55020,LB,BUFFALO,12,0,0,126,72.0,0,0,2,3.1,0.0,0,0,50.0,1,64,2,1,0,0,0,1,6.7,0.0,0,0.0,0,15,1,0
Ledarius Mack,55041,ED,BUFFALO,13,0,0,126,68.6,2,13,121,87.2,14.9,18,0,8.7,3,141,123,18,0,1,10,75,97.5,12.0,9,7.3,0,79,77,11
Chibueze Onwuka,55044,DI,BUFFALO,11,0,2,126,71.3,2,6,111,100.0,10.8,12,4,5.4,2,113,113,10,0,2,4,55,100.0,14.5,8,7.3,1,56,56,7
Brandon Brown,55049,CB,C MICHIGAN,7,0,0,134,60.0,0,0,1,1.7,0.0,0,0,0.0,0,59,1,0,0,0,0,0,0.0,,0,,0,10,0,0
Troy Brown,55050,LB,C MICHIGAN,9,0,0,134,63.3,1,1,10,12.1,20.0,2,1,10.0,0,91,11,2,0,0,0,5,15.8,20.0,1,0.0,0,38,6,0
Johnathan Berghorst,55051,DI,C MICHIGAN,4,0,0,134,58.1,0,0,26,100.0,0.0,0,0,0.0,0,28,28,0,0,0,0,13,100.0,0.0,0,0.0,0,15,15,0
George Douglas IV,55053,LB,C MICHIGAN,2,0,0,134,59.7,0,0,2,100.0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Chuck Jones,55054,LB,C MICHIGAN,2,0,0,134,59.5,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Nathan Brisson-Fast,55062,DI,C MICHIGAN,8,0,0,134,75.1,4,7,194,94.1,10.8,21,0,3.9,2,220,207,13,0,4,5,73,95.2,21.9,16,7.5,1,84,80,10
Ethan Tucky,55071,ED,CINCINNATI,13,2,0,138,58.7,1,8,94,84.0,6.4,6,0,5.9,1,119,100,10,0,1,5,39,89.1,12.8,5,10.3,1,46,41,7
Jabari Taylor,55075,DI,CINCINNATI,7,0,0,138,60.8,0,2,33,100.0,6.1,2,1,3.0,0,35,35,2,0,0,1,15,100.0,6.7,1,3.3,0,16,16,1
Jarell White,55079,LB,CINCINNATI,13,0,1,138,57.1,0,9,27,13.1,18.5,5,2,16.7,0,221,29,9,0,0,3,10,11.1,10.0,1,15.0,0,90,10,3
RJ Potts,55080,LB,CINCINNATI,5,0,0,138,66.3,0,1,2,10.7,0.0,0,0,25.0,0,28,3,1,0,0,0,0,0.0,,0,,0,13,0,0
Darrick Forrest,55087,S,CINCINNATI,13,0,0,138,54.7,0,0,3,0.7,0.0,0,0,0.0,0,442,3,0,0,0,0,1,0.6,0.0,0,0.0,0,180,1,0
Coby Bryant,55088,CB,CINCINNATI,13,0,0,138,59.6,0,1,1,0.2,0.0,0,3,50.0,0,433,1,1,0,0,0,0,0.0,,0,,0,178,0,0
Omar Fortt,55100,LB,UCONN,11,0,1,146,60.3,1,0,11,3.8,0.0,0,1,4.5,0,286,11,1,0,0,0,3,3.3,0.0,0,0.0,0,90,3,0
Ian Swenson,55104,S,UCONN,10,1,0,146,67.7,0,3,23,13.5,0.0,0,0,15.2,2,170,23,5,0,0,2,4,9.5,0.0,0,25.0,0,42,4,2
Caleb Thomas,55105,DI,UCONN,12,0,0,146,63.6,2,8,188,100.0,6.9,13,0,3.2,1,193,193,11,0,1,3,44,100.0,9.1,4,6.8,1,46,46,5
Darrian Beavers,55107,ED,UCONN,12,2,0,146,59.4,0,8,183,84.2,3.8,7,0,4.4,4,228,192,12,0,0,5,73,88.8,6.8,5,6.2,2,89,79,7
T.J. Gardner,55108,ED,UCONN,2,0,0,146,52.3,0,0,16,94.1,0.0,0,0,0.0,0,17,16,0,0,0,0,10,90.9,0.0,0,0.0,0,11,10,0
Santana Sterling,55125,LB,UCONN,12,0,0,146,57.4,1,1,21,11.5,4.8,1,0,4.8,0,192,22,2,0,0,0,7,11.3,0.0,0,0.0,0,62,7,0
Rishard Dames,55152,CB,FIU,11,0,0,166,69.7,0,0,1,0.7,0.0,0,1,100.0,1,153,1,1,0,0,0,0,0.0,,0,,0,82,0,0
Richard Dames,55153,S,FIU,13,0,1,166,59.7,0,2,6,2.3,16.7,1,2,16.7,0,299,7,2,0,0,0,2,2.3,0.0,0,0.0,0,128,3,0
Noah Curtis,55155,ED,FIU,13,1,0,166,58.1,4,8,242,99.6,4.1,10,2,3.3,2,255,254,14,0,3,3,89,100.0,4.5,4,3.4,0,93,93,6
Kevin Oliver,55157,ED,FIU,13,0,0,166,58.8,2,8,211,100.0,6.2,13,2,3.8,3,221,221,13,0,2,1,71,100.0,9.9,7,4.9,2,76,76,5
Josh Powell,55159,LB,FIU,6,0,0,166,59.2,0,0,1,1.6,0.0,0,0,0.0,0,63,1,0,0,0,0,1,4.0,0.0,0,0.0,0,25,1,0
Jamal Gates,55162,LB,FIU,13,0,0,166,48.2,0,4,9,6.4,0.0,0,0,22.2,0,140,9,4,0,0,0,2,5.3,0.0,0,0.0,0,38,2,0
Dorian Hall,55168,S,FIU,13,0,0,166,64.8,0,2,4,1.1,0.0,0,2,50.0,1,356,4,3,0,0,1,2,1.4,0.0,0,25.0,0,138,2,1
Steven Banks,55184,DI,GA STATE,1,0,0,175,68.1,1,0,2,100.0,50.0,1,0,25.0,0,2,2,1,0,1,0,1,100.0,100.0,1,50.0,0,1,1,1
Dontae Wilson,55185,DI,GA STATE,12,0,0,175,61.4,0,7,234,99.6,3.8,9,1,2.4,2,249,248,9,0,0,2,56,100.0,1.8,1,3.6,1,60,60,3
Victor Heyward,55187,LB,GA STATE,12,0,0,175,55.8,0,3,51,18.0,2.0,1,1,4.9,1,283,51,4,0,0,0,14,19.7,0.0,0,0.0,0,71,14,0
Trajan Stephens-McQueen,55189,LB,GA STATE,12,1,0,175,57.5,0,0,12,9.4,0.0,0,0,0.0,0,138,13,0,0,0,0,5,15.4,0.0,0,0.0,0,39,6,0
Jhi'Shawn Taylor,55190,LB,GA STATE,7,0,0,175,54.8,0,1,7,13.7,0.0,0,0,7.1,0,51,7,1,0,0,1,2,14.3,0.0,0,25.0,0,14,2,1
Jordan Strachan,55198,ED,GA STATE,12,2,0,175,58.2,2,4,107,66.3,4.7,5,0,2.8,0,178,118,6,0,0,1,27,78.0,11.1,3,1.9,0,41,32,1
T.J. Arnold,55206,ED,GA STATE,6,0,0,175,60.1,0,1,29,100.0,3.4,1,0,5.2,1,32,32,2,0,0,0,6,100.0,0.0,0,0.0,0,8,8,0
Noah Hickcox,55219,DI,MINNESOTA,5,0,0,225,66.2,0,2,22,100.0,13.6,3,0,4.5,0,24,24,2,0,0,2,11,100.0,27.3,3,9.1,0,12,12,2
Boye Mafe,55220,ED,MINNESOTA,9,1,0,225,83.0,1,9,76,93.1,19.7,15,1,7.9,1,87,81,11,1,1,7,47,96.1,25.5,12,10.6,1,51,49,9
Esezi Otomewo,55221,ED,MINNESOTA,13,0,0,225,56.5,2,10,244,100.0,4.5,11,2,2.9,1,256,256,13,0,1,6,114,100.0,2.6,3,3.9,1,118,118,8
Nate Umlor,55224,DI,MINNESOTA,1,0,0,225,59.7,0,0,1,100.0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,,,0,,0,0,0,0
Royal Silver,55248,DI,MINNESOTA,11,0,0,225,60.7,1,6,154,100.0,4.5,7,1,2.3,0,162,162,7,0,0,1,46,100.0,6.5,3,1.1,0,48,48,1
Tycen Anderson,55351,CB,TOLEDO,13,0,0,316,60.0,0,0,1,0.3,0.0,0,3,0.0,0,302,1,0,0,0,0,0,0.0,,0,,0,118,0,0
Nate Givhan,55355,ED,TOLEDO,6,0,0,316,58.9,0,0,41,100.0,4.9,2,0,4.9,2,41,41,2,0,0,0,15,100.0,6.7,1,6.7,1,15,15,1
Devonte' Dunn,55356,DI,TOLEDO,13,0,0,316,57.9,0,4,138,100.0,5.1,7,0,2.2,1,145,145,5,0,0,2,54,100.0,9.3,5,3.7,1,55,55,3
Tyrone Chambers,55357,DI,TOLEDO,11,0,0,316,59.1,1,1,73,100.0,2.7,2,0,1.4,0,76,76,2,0,0,1,18,100.0,5.6,1,2.8,0,20,20,1
Reggie Howard,55373,DI,TOLEDO,13,0,1,316,75.5,5,17,333,99.7,9.6,32,4,5.4,7,354,353,29,0,3,9,117,100.0,17.1,20,10.3,6,127,127,18
Antwan Collier,55376,S,UCF,10,0,0,323,57.3,0,2,8,7.2,0.0,0,0,12.5,0,125,9,2,0,0,1,5,9.4,0.0,0,10.0,0,64,6,1
Jeremiah Zio,55381,ED,UCF,1,0,0,323,58.2,0,0,3,100.0,0.0,0,0,0.0,0,3,3,0,0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Mason Cholewa,55382,DI,UCF,10,0,0,323,59.2,0,5,94,100.0,5.3,5,0,2.7,0,103,103,5,0,0,4,32,100.0,15.6,5,6.3,0,37,37,4
Kalia Davis,55389,LB,UCF,9,0,0,323,70.1,2,1,11,18.0,9.1,1,1,13.6,0,61,11,3,0,1,1,3,12.5,33.3,1,33.3,0,24,3,2
Stephon Zayas,55395,ED,UCF,2,0,0,323,53.5,0,1,11,68.8,0.0,0,0,4.5,0,16,11,1,0,0,1,7,100.0,0.0,0,7.1,0,7,7,1
Austin Camden,55408,DI,UCF,2,0,0,323,56.1,0,0,8,100.0,0.0,0,0,0.0,0,8,8,0,0,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Keenan Johnson,55415,CB,UCF,12,0,0,323,62.2,0,1,5,3.0,20.0,1,1,10.0,0,202,6,1,0,0,1,2,1.8,50.0,1,25.0,0,109,2,1
Gabriel Luyanda,55416,ED,UCF,13,1,0,323,64.8,2,13,115,85.3,8.7,10,0,8.3,2,143,122,17,0,1,7,51,85.7,11.8,6,7.8,0,63,54,8
Anthony Montalvo,55417,DI,UCF,6,0,0,323,59.5,1,1,39,100.0,2.6,1,0,5.1,1,40,40,3,0,1,1,16,100.0,6.3,1,12.5,1,17,17,3
Ja'Sir Taylor,55426,CB,WAKE,13,0,0,339,57.7,0,0,2,0.5,0.0,0,1,0.0,0,368,2,0,0,0,0,0,0.0,,0,,0,104,0,0
Mike Allen,55430,ED,WAKE,4,0,0,339,57.5,0,1,18,100.0,5.6,1,0,2.8,0,20,20,1,0,0,0,3,100.0,0.0,0,0.0,0,5,5,0
