player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ja'Whaun Bentley,50966,LB,PURDUE,12,0,0,273,50.8,1,3,44,11.3,2.3,1,0,4.5,0,425,48,4,0,50.9,0,1,20,13.0,5.0,1,2.5,0,177,23,1
Ryan McAleenan,50968,LB,UNLV,11,0,0,325,70.2,2,2,17,8.8,11.8,2,0,17.6,1,194,17,5,0,70.3,2,2,11,12.6,18.2,2,18.2,0,87,11,4
Zach Bradshaw,50970,LB,VIRGINIA,2,0,0,335,56.9,0,0,4,44.4,0.0,0,0,0.0,0,9,4,0,0,59.1,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Greer Martini,50972,LB,NOTRE DAME,5,0,0,258,81.3,1,4,7,13.7,57.1,4,0,50.0,1,51,7,6,0,73.9,0,2,4,40.0,50.0,2,25.0,0,10,4,2
Eric Boggs,50973,LB,APP STATE,11,0,0,108,67.2,3,4,23,12.0,4.3,1,0,19.6,1,192,23,8,0,73.8,2,4,8,10.3,12.5,1,50.0,1,78,8,7
Peyton Pelluer,50974,LB,WASH STATE,9,0,0,341,54.5,1,3,45,28.8,4.4,2,0,6.7,1,170,49,5,0,59.0,1,2,15,23.8,13.3,2,10.0,0,63,15,3
Bryson Allen-Williams,50975,ED,S CAROLINA,12,0,0,289,52.9,5,12,156,75.7,3.8,6,0,6.7,2,214,162,19,0,48.4,1,1,68,93.3,0.0,0,1.5,0,75,70,2
Keith Brown,50978,LB,LOUISVILLE,10,0,0,210,54.4,0,1,6,8.1,0.0,0,0,8.3,0,74,6,1,0,55.3,0,0,4,12.9,0.0,0,0.0,0,31,4,0
Andre Hunt,50980,S,RUTGERS,5,0,0,278,90.0,2,0,4,8.3,0.0,0,0,50.0,1,48,4,3,0,64.4,1,0,1,6.7,0.0,0,50.0,0,15,1,1
Caleb Saulo,50981,LB,OREGON ST,1,0,0,265,59.5,0,0,1,33.3,0.0,0,0,0.0,0,3,1,0,0,,0,0,0,,,0,,0,0,0,0
LaKeith Walls,50983,LB,ILLINOIS,13,0,0,187,62.0,1,6,44,54.1,0.0,0,1,12.5,2,85,46,9,0,62.0,1,3,27,70.0,0.0,0,14.8,2,40,28,6
Dakota Cox,50984,LB,NEW MEXICO,9,0,0,241,60.0,4,3,34,11.5,5.9,2,0,10.3,0,304,35,7,0,63.0,2,2,12,13.5,16.7,2,16.7,0,89,12,4
