player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,year
Jalonnie Williams,145874,ED,N ILLINOIS,12,0,1,254,57.8,2,10,188,96.6,6.4,12,3,4.3,2,204,197,14,0,53.6,0,5,74,96.2,8.1,6,3.4,0,79,76,5,2024
Jalyn Holmes,48400,ED,OHIO STATE,14,3,0,260,71.1,4,30,320,97.4,11.3,36,1,5.9,2,344,335,36,0,71.4,1,17,120,99.2,17.5,21,9.2,2,126,125,20,2018
Jamal Davis II,38297,ED,AKRON,12,5,1,102,68.5,4,29,390,99.8,9.0,35,8,5.5,5,415,414,38,3,,2,11,144,100.0,11.1,16,7.3,4,156,156,17,2019
Jamal Hines,76853,ED,TOLEDO,14,4,0,316,71.4,9,24,372,98.7,9.9,37,1,6.3,7,397,392,40,0,68.0,2,12,131,98.6,12.2,16,9.2,5,143,141,19,2022
Jamal Ligon,123320,LB,UTSA,13,0,0,331,77.1,5,19,129,37.2,15.5,20,1,12.4,4,374,139,28,0,72.7,3,10,69,60.7,14.5,10,12.3,2,122,74,15,2024
Jamal Marcus,12094,ED,AKRON,11,0,3,102,90.3,6,37,317,99.4,15.5,49,9,8.4,5,346,344,48,0,90.6,2,19,89,100.0,27.0,24,15.2,3,99,99,24,2015
Jamal Palmer,18011,ED,BAYLOR,13,0,0,118,74.2,10,46,373,99.3,14.2,53,2,9.1,6,407,404,62,0,80.8,4,20,107,100.0,29.0,31,13.1,2,119,119,26,2015
Jamal Stadom,48904,ED,TROY,12,0,0,318,63.7,1,19,235,92.8,6.4,15,0,6.0,4,265,246,24,0,56.9,0,11,79,98.8,11.4,9,10.8,3,84,83,14,2014
Jamar Montgomery,100556,ED,COLORADO,12,1,0,143,63.0,3,10,164,95.1,8.5,14,3,4.6,1,184,175,14,0,59.3,3,3,61,98.4,11.5,7,6.6,1,64,63,7,2022
Jamar Simpkins,24150,ED,W MICHIGAN,11,0,0,347,53.6,2,6,160,99.4,3.8,6,0,3.1,1,172,171,9,0,54.1,2,4,76,100.0,5.3,4,3.9,0,81,81,6,2014
Jamar Watson,42938,ED,KENTUCKY,11,0,0,202,69.0,3,14,163,64.3,12.3,20,1,8.9,6,266,171,23,0,65.3,0,8,58,74.7,13.8,8,12.1,3,83,62,11,2020
Jameer Lewis,184776,ED,SO MISS,12,0,1,296,70.0,4,9,171,92.0,9.4,16,1,5.0,2,199,183,15,0,68.5,4,4,51,95.0,15.7,8,7.8,0,60,57,8,2024
Jameer Outsey,36080,ED,UNLV,12,1,1,325,74.5,2,26,328,97.7,11.0,36,2,5.5,4,347,339,32,0,,1,11,87,98.9,20.7,18,8.0,1,89,88,13,2019
Jamell Garcia-Williams,56886,ED,UAB,14,4,0,321,61.8,6,14,297,98.4,8.4,25,4,6.4,9,317,312,29,0,,4,7,102,98.2,16.7,17,10.3,5,113,111,16,2019
James Crawford,49836,ED,ILLINOIS,9,3,0,187,72.7,2,18,208,99.1,10.6,22,4,6.7,4,220,218,24,1,64.5,1,11,88,97.9,13.6,12,9.1,2,96,94,14,2018
James Folston Jr.,48532,ED,PITTSBURGH,14,0,0,268,57.8,0,9,163,97.8,4.3,7,0,2.8,0,181,177,9,0,,0,4,52,95.0,7.7,4,3.8,0,60,57,4,2019
James Head Jr.,82285,ED,INDIANA,10,0,0,190,55.3,5,11,236,98.4,5.9,14,0,3.4,0,250,246,16,0,51.7,3,6,94,99.0,6.4,6,4.8,0,100,99,9,2022
James Hearns,50145,ED,LOUISVILLE,12,1,1,210,70.7,2,17,249,90.6,10.0,25,4,5.8,5,286,259,24,0,80.9,2,10,91,93.2,19.8,18,12.1,5,103,96,17,2018
James Kelly,15750,ED,ARMY,12,0,0,114,56.0,1,11,137,40.9,6.6,9,0,4.4,0,340,139,12,0,55.1,0,4,59,69.0,6.8,4,3.4,0,87,60,4,2014
James Lynch,56962,ED,BAYLOR,13,0,0,118,61.6,9,13,346,98.1,6.9,24,3,4.3,4,366,359,26,0,,3,6,74,100.0,18.9,14,7.4,1,77,77,10,2019
James McFarland,50297,ED,TCU,13,2,1,305,58.7,6,25,334,94.4,6.6,22,2,4.9,1,374,353,32,0,58.0,5,5,100,95.5,9.0,9,6.0,1,110,105,11,2016
James Nachtigal,34948,LB,ARMY,13,0,0,114,87.6,8,6,109,30.6,11.0,12,4,15.6,10,385,118,24,0,,3,1,43,44.1,16.3,7,20.9,7,102,45,11,2019
James Pearce Jr.,163770,ED,TENNESSEE,13,1,2,307,89.4,4,43,235,91.0,23.0,54,5,13.4,8,279,254,55,0,83.7,1,24,104,92.6,29.8,31,17.8,6,122,113,31,2024
James Skalski,42552,LB,CLEMSON,13,2,0,140,60.2,5,17,97,23.1,8.2,8,1,13.4,2,438,101,24,0,57.1,3,6,48,34.5,10.4,5,11.5,1,148,51,10,2021
James Smith-Williams,48455,ED,NC STATE,12,1,0,248,69.6,3,30,330,93.4,11.5,38,1,7.1,7,364,340,40,0,,2,16,114,97.5,18.4,21,10.5,3,122,119,21,2019
James Stewart,126263,ED,MIDDLE TN,12,0,0,224,63.9,3,5,158,92.2,10.1,16,1,3.8,2,179,165,10,0,69.3,2,3,54,96.6,22.2,12,8.3,2,58,56,7,2024
James Traylor,50304,LB,GA STATE,9,0,0,175,52.9,0,7,108,40.6,5.6,6,0,4.2,1,278,113,8,0,54.5,0,4,46,53.3,8.7,4,6.5,1,92,49,5,2018
James Vaughters,9934,ED,STANFORD,13,0,0,300,76.1,11,24,196,70.7,17.3,34,1,12.0,6,287,203,41,0,78.0,6,14,87,80.6,25.3,22,17.2,5,108,87,25,2014
James Williams,124654,ED,NEBRASKA,12,0,0,238,76.9,12,14,130,95.9,19.2,25,3,13.8,5,148,142,31,0,76.8,8,10,84,93.8,22.6,19,15.5,4,97,91,22,2024
Jamichael Winston Sr.,50623,ED,ARKANSAS,13,0,1,111,65.7,4,6,154,99.4,8.4,13,2,3.2,0,155,154,10,0,59.9,1,2,45,97.8,6.7,3,3.3,0,46,45,3,2015
Jamie Sheriff,121433,ED,S ALABAMA,13,0,0,288,79.4,15,25,276,93.9,12.7,35,1,9.1,5,313,294,45,0,79.2,8,12,89,90.7,21.3,19,13.5,2,107,97,22,2023
Jamil Muhammad,102860,ED,USC,13,0,0,326,60.0,1,13,174,76.8,8.0,14,1,4.6,1,237,182,15,0,64.7,0,8,55,77.9,16.4,9,7.3,0,77,60,8,2024
Jamoi Hodge,123081,LB,TCU,12,1,0,305,61.9,2,20,91,22.9,4.4,4,1,15.4,3,411,94,25,0,50.9,1,2,44,57.0,0.0,0,5.7,1,79,45,4,2023
Jamree Kromah,82380,ED,JAMES MAD,13,0,0,197,64.2,7,26,483,99.4,7.7,37,5,5.3,9,500,497,42,0,71.3,3,19,189,99.5,13.8,26,9.5,7,197,196,29,2023
Janarius Robinson,42447,ED,FLORIDA ST,9,1,0,167,72.7,6,16,220,91.6,10.9,24,3,6.4,3,261,239,25,0,78.7,5,11,85,91.0,21.2,18,11.8,2,100,91,18,2020
Jared Bartlett,99374,ED,W VIRGINIA,13,0,1,343,71.1,4,13,180,55.5,9.4,17,1,8.6,7,335,186,24,0,70.1,2,4,63,64.6,14.3,9,11.1,4,99,64,10,2023
Jared Ivey,122480,ED,OLE MISS,12,3,0,226,90.8,1,31,315,99.1,16.8,53,1,7.6,8,340,337,40,1,87.0,0,19,116,100.0,25.9,30,11.6,4,126,126,23,2024
Jared Norris,11011,LB,UTAH,12,0,0,328,69.6,4,9,121,24.8,6.6,8,1,7.0,2,513,127,15,0,71.1,0,1,42,20.5,4.8,2,6.0,2,220,45,3,2015
Jared Verse,101912,ED,FLORIDA ST,13,2,0,167,90.8,15,36,312,94.0,21.8,68,1,11.7,11,350,329,62,0,90.9,11,19,147,95.2,28.6,42,16.3,9,165,157,39,2023
Jareid Combs,49688,ED,N TEXAS,13,1,0,251,72.0,7,19,239,99.2,12.1,29,2,7.1,4,262,260,30,0,74.4,3,8,76,97.6,18.4,14,9.9,2,85,83,13,2016
Jarrell McKinney,19796,ED,W MICHIGAN,13,0,0,347,71.2,1,25,290,95.6,11.0,32,3,5.2,2,320,306,28,0,67.0,0,13,91,95.0,16.5,15,7.1,0,100,95,13,2015
Jarrell Owens,48427,ED,OKLA STATE,13,0,0,262,65.5,5,15,295,97.5,5.8,17,0,4.7,4,325,317,24,0,,2,7,108,99.2,6.5,7,6.0,2,120,119,11,2019
Jarrett Johnson,48367,ED,TEXAS A&M,11,0,0,312,59.7,9,13,312,97.3,7.7,24,0,5.4,6,332,323,28,0,62.1,6,10,140,98.6,10.7,15,7.1,2,146,144,18,2018
Jarrian Roberts,49608,ED,N TEXAS,12,1,0,251,67.2,0,19,234,85.8,10.3,24,3,7.1,7,288,247,26,1,63.2,0,14,87,97.9,17.2,15,11.5,3,95,93,17,2015
Jarrod Carter-McLin,44042,ED,UTSA,12,3,0,331,71.4,3,15,216,95.4,10.2,22,7,4.6,1,238,227,19,1,,2,8,97,94.6,16.5,16,6.2,1,111,105,11,2019
Jarvis Hayes,82173,ED,TROY,13,1,0,318,66.4,4,12,224,98.8,8.0,18,0,5.8,5,240,237,21,0,,1,5,78,98.8,11.5,9,6.4,2,83,82,8,2019
Jarvis Jeffries,43929,ED,LA LAFAYET,11,1,0,207,59.7,3,8,161,99.4,5.6,9,1,3.4,0,169,168,11,0,57.1,1,1,41,97.7,7.3,3,2.4,0,44,43,2,2018
Jarvis Pruitt,35288,ED,SMU,11,0,1,287,53.9,1,6,195,99.0,3.6,7,1,3.8,4,206,204,11,0,54.2,1,4,63,100.0,6.3,4,5.6,1,66,66,6,2016
Jashaud Stewart,123964,ED,ARKANSAS,10,1,0,111,64.4,0,8,158,100.0,6.3,10,0,4.4,3,175,175,11,0,61.0,0,1,44,100.0,6.8,3,3.4,1,49,49,2,2022
Jasheen Davis,123382,ED,WAKE,10,0,0,339,75.3,9,30,360,99.5,11.1,40,2,7.1,6,374,372,45,0,85.9,2,17,86,98.9,29.1,25,15.7,4,90,89,23,2024
Jashon Cornell,28074,ED,OHIO STATE,14,0,0,260,53.9,1,1,131,98.6,2.3,3,1,1.5,1,144,142,3,0,,1,0,41,97.9,2.4,1,3.7,1,47,46,2,2019
Jason Fanaika,11272,ED,UTAH,13,1,1,328,72.5,10,37,405,92.6,12.8,52,3,6.8,4,458,424,51,0,82.1,7,25,171,95.7,22.8,39,11.7,4,186,178,36,2015
Jason Henderson,145379,LB,DOMINION,12,0,1,263,72.1,8,10,101,24.1,14.9,15,1,14.9,6,449,108,24,0,65.7,3,4,47,58.1,21.3,10,9.6,1,86,50,8,2023
Jason Mercier,82260,ED,FIU,10,3,0,166,58.0,2,6,248,100.0,4.4,11,2,2.0,1,257,257,9,1,54.8,1,1,55,100.0,3.6,2,1.8,0,58,58,2,2021
Jason Neill,11127,ED,UTSA,12,0,0,331,81.9,11,38,350,99.7,16.6,58,3,10.1,11,366,365,60,0,76.6,2,15,104,100.0,23.1,24,13.0,5,109,109,22,2015
Jason Vaughn,98440,ED,USF,12,0,0,327,60.9,1,7,205,92.7,6.8,14,0,4.4,5,232,215,13,0,60.5,0,2,56,93.7,8.9,5,5.4,2,63,59,4,2022
Jassavia Reese,48435,ED,NEW MEX ST,12,0,0,242,52.9,1,8,202,96.7,2.5,5,0,2.2,0,215,208,9,0,54.6,0,2,44,91.8,4.5,2,2.3,0,49,45,2,2016
Jaswha James,19042,ED,OREGON ST,12,0,0,265,52.8,1,7,187,75.3,3.2,6,1,2.7,1,263,198,9,0,55.5,1,5,62,67.7,6.5,4,6.5,1,99,67,7,2015
Jatavis Brown,10809,LB,AKRON,13,0,0,102,93.7,11,22,134,29.4,21.6,29,0,23.5,15,493,145,48,0,92.2,5,8,55,41.3,27.3,15,26.4,8,143,59,21,2015
Jatius Geer,144047,ED,SYRACUSE,13,1,1,304,61.9,6,16,261,98.2,7.3,19,4,6.1,5,274,269,27,0,56.5,1,4,74,97.5,5.4,4,4.7,1,79,77,6,2022
Javon Denis,97572,ED,GA STATE,13,0,0,175,67.9,10,22,401,100.0,10.0,40,0,5.2,5,431,431,37,0,66.3,5,8,134,100.0,11.2,15,7.8,4,141,141,17,2023
Javon Solomon,97821,ED,TROY,14,0,0,318,90.8,10,21,321,99.4,16.5,53,2,10.1,17,337,335,48,0,91.4,4,16,117,100.0,26.5,31,17.9,11,124,124,31,2023
Javontae Jean-Baptiste,83514,ED,NOTRE DAME,13,2,0,258,74.9,10,22,287,98.7,12.9,37,1,7.7,6,310,306,38,0,69.3,2,8,125,98.6,13.6,17,8.8,6,139,137,16,2023
Jawaun Campbell,189786,ED,JVILLE ST,14,2,0,196,63.4,0,9,254,99.6,4.7,12,2,2.6,2,269,268,11,0,63.1,0,3,51,98.2,7.8,4,6.9,2,56,55,5,2024
Jay Henderson,27233,ED,S DIEGO ST,13,1,0,284,55.1,2,11,242,83.0,4.1,10,0,4.3,4,305,253,17,0,58.1,1,7,85,76.5,8.2,7,9.4,4,115,88,12,2018
Jayden McDonald,81249,LB,UCONN,13,0,0,146,70.3,3,13,114,27.1,13.2,15,4,11.4,5,447,121,21,0,72.7,0,8,54,35.6,20.4,11,16.7,5,160,57,13,2024
Jayden Virgin-Morgan,163392,ED,BOISE ST,14,0,0,120,60.0,7,24,387,88.1,8.3,32,2,7.1,12,461,406,43,0,67.9,5,13,159,92.0,15.1,24,13.2,12,188,173,30,2024
Jaylen Griffin,58270,ED,VA TECH,11,0,1,337,64.6,2,13,225,97.2,9.3,21,3,4.2,2,247,240,17,0,60.3,1,9,109,97.5,9.2,10,6.4,2,120,117,12,2022
Jaylen Harrell,129579,ED,MICHIGAN,15,1,0,222,86.0,4,21,206,78.2,19.9,41,2,9.0,6,275,215,31,0,85.3,3,10,100,86.0,23.0,23,11.5,5,121,104,18,2023
Jaylen Johnson,30663,ED,WASHINGTON,13,0,0,340,61.2,3,16,242,98.8,6.2,15,1,4.8,2,258,255,21,0,,2,8,70,98.6,12.9,9,8.6,1,72,71,11,2019
Jaylen Joyner,83489,ED,FAU,12,1,0,165,63.2,2,10,306,99.7,7.8,24,1,3.3,4,327,326,16,1,63.8,0,5,127,99.3,9.4,12,3.5,2,136,135,7,2021
Jaylen Pate,98178,ED,NWESTERN,12,1,0,256,70.8,2,15,204,97.2,12.7,26,0,4.2,0,214,208,17,0,68.9,1,5,67,100.0,19.4,13,4.5,0,68,68,6,2024
Jaylen Smith,145330,LB,N TEXAS,13,1,0,251,55.7,9,12,119,27.6,3.4,4,3,8.8,0,474,131,21,0,52.6,6,6,49,48.6,2.0,1,12.2,0,109,53,12,2024
Jaylen Sneed,156972,LB,NOTRE DAME,16,0,1,258,72.4,5,7,101,46.7,10.9,11,2,9.9,4,229,107,16,0,79.1,4,6,64,57.8,17.2,11,12.5,3,116,67,13,2024
Jaylin Bannerman,44002,ED,UTAH ST,13,0,0,329,79.5,4,9,156,92.7,15.4,24,3,4.8,1,179,166,14,0,80.3,1,4,63,90.7,25.4,16,5.6,1,75,68,6,2021
Jaylon Allen,77156,ED,MEMPHIS,13,1,0,218,66.1,1,24,302,79.3,10.9,33,2,5.1,3,406,322,28,0,68.4,0,9,107,87.6,16.8,18,6.1,2,129,113,11,2023
Jaylon Ferguson,48362,ED,LA TECH,13,3,0,208,87.5,15,32,307,99.1,19.9,61,5,13.2,17,327,324,64,1,,5,21,112,100.0,34.8,39,24.1,14,120,120,40,2019
Jaylon Scott,99771,LB,NC STATE,13,0,1,248,67.1,4,25,184,39.0,10.9,20,1,9.5,3,515,201,32,0,62.3,1,15,60,83.5,18.3,11,15.0,1,79,66,17,2023
Jaylon Smith,10668,LB,NOTRE DAME,13,1,1,258,80.8,7,13,77,16.7,18.2,14,1,18.2,4,485,81,24,0,77.2,5,7,41,20.6,22.0,9,22.0,3,199,41,15,2014
Je'lin Samuels,144376,ED,SMU,13,1,0,287,58.5,2,13,163,98.8,6.7,11,1,5.8,2,169,167,17,0,60.7,2,9,73,98.7,11.0,8,7.5,0,75,74,11,2023
Jeff Banks,44887,ED,TEXAS ST,11,2,0,314,56.3,1,6,144,94.3,2.8,4,0,2.4,0,159,150,7,2,64.1,1,4,45,100.0,6.7,3,5.6,0,48,48,5,2015
Jeff Gunter,54402,ED,COAST CAR,12,1,0,141,75.3,11,17,244,92.1,14.8,36,2,8.2,6,280,258,34,1,79.3,3,7,50,93.1,32.0,16,12.0,1,58,54,11,2021
Jeff Holland,50287,ED,AUBURN,14,0,0,115,83.8,12,43,331,95.3,14.5,48,3,11.6,11,365,348,66,0,83.0,8,20,129,99.3,19.4,25,15.5,6,137,136,34,2018
Jeff Luc,9819,LB,CINCINNATI,13,0,0,138,90.9,9,11,100,22.2,18.0,18,3,17.0,7,469,104,27,0,92.7,7,9,51,33.3,29.4,15,23.5,4,156,52,20,2014
Jeff Pietrowski Jr.,129631,ED,WISCONSIN,13,0,0,349,65.6,3,10,114,82.2,8.8,10,1,5.7,0,146,120,13,0,66.8,1,7,54,79.7,13.0,7,7.4,0,74,59,8,2023
Jeffery Pooler Jr.,44627,ED,NWESTERN,12,0,0,256,61.7,1,11,240,93.8,7.5,18,2,4.2,4,273,256,16,0,58.4,1,6,92,93.3,9.8,9,4.9,1,104,97,8,2021
Jeffrey Bassa,146552,LB,OREGON,14,0,0,264,80.3,10,17,100,22.3,19.0,19,1,13.5,0,466,104,27,0,77.1,4,9,49,30.4,20.4,10,13.3,0,171,52,13,2023
Jeramy Passmore,101439,ED,FIU,11,0,1,166,62.1,2,13,259,100.0,8.9,23,1,3.7,2,274,274,17,0,63.7,1,7,70,100.0,15.7,11,7.1,1,78,78,9,2023
Jereme Robinson,122576,ED,KANSAS,12,0,0,198,60.7,1,16,229,93.4,7.9,18,1,5.9,5,256,239,22,0,70.7,0,14,92,92.4,18.5,17,13.0,5,105,97,19,2024
Jeremiah Harris,48495,ED,E MICHIGAN,13,2,0,160,64.0,3,14,272,94.4,5.5,15,2,5.0,5,305,288,22,0,,2,5,76,100.0,9.2,7,7.2,2,80,80,9,2019
Jeremiah Martin,82431,ED,WASHINGTON,13,1,0,340,82.0,9,34,341,93.9,15.2,52,5,8.9,9,391,367,52,1,80.3,3,21,124,94.4,17.7,22,12.9,4,144,136,28,2022
Jeremiah Moon,26453,ED,FLORIDA,12,1,0,163,73.3,3,13,101,83.9,16.8,17,0,8.9,1,124,104,17,0,,2,8,42,89.4,23.8,10,14.3,1,47,42,11,2019
Jeremiah Peters,145915,ED,TOLEDO,10,0,0,316,76.2,1,9,133,92.7,13.5,18,2,6.8,4,151,140,14,0,83.5,0,9,67,97.3,23.9,16,11.2,3,74,72,12,2023
Jeremiah Trotter Jr.,144142,LB,CLEMSON,12,2,0,140,78.7,7,14,96,24.3,12.5,12,3,18.2,7,420,102,28,1,80.5,4,9,56,31.9,16.1,9,24.1,7,188,60,20,2023
Jeremiah Valoaga,12194,ED,UNLV,10,2,0,325,65.1,4,20,263,95.5,6.8,18,2,5.7,3,291,278,27,0,60.8,4,8,100,99.1,9.0,9,7.0,1,111,110,13,2016
Jeremy Lewis,98113,ED,E CAROLINA,12,1,0,156,69.2,5,12,137,44.6,9.5,13,0,9.1,4,327,146,21,0,69.2,2,5,52,61.3,11.5,6,10.6,2,93,57,9,2023
Jeremy Smith,50121,ED,TULSA,12,0,1,320,74.7,6,22,320,98.8,12.2,39,3,6.6,7,345,341,35,0,86.4,3,10,66,100.0,25.8,17,12.9,2,73,73,15,2018
Jermaine Carter,28838,LB,MARYLAND,12,0,0,215,63.8,5,8,96,22.7,7.3,7,5,10.9,4,454,103,17,0,64.0,4,7,62,36.4,11.3,7,13.7,3,184,67,14,2018
Jermaine Johnson,99015,ED,FLORIDA ST,12,1,0,167,78.1,7,25,396,98.1,11.4,45,2,7.6,14,423,415,46,1,84.3,3,16,172,99.5,15.7,27,11.9,11,184,183,30,2021
Jermauria Rasco,9931,ED,LSU,13,2,0,211,57.7,4,14,298,98.4,4.7,14,2,4.7,5,311,306,23,1,59.3,0,5,82,100.0,7.3,6,6.7,3,85,85,8,2014
Jerrell Jordan,16035,ED,CINCINNATI,12,1,0,138,54.8,2,3,149,95.1,3.4,5,0,1.7,0,162,154,5,0,53.8,0,2,47,94.3,6.4,3,2.1,0,53,50,2,2014
Jesiah Pierre,98782,ED,TEXAS TECH,13,0,0,315,63.2,3,13,230,70.3,7.4,17,0,6.1,6,343,241,22,0,63.6,1,7,88,74.8,11.4,10,6.8,2,127,95,10,2022
Jesse Aniebonam,50204,ED,MARYLAND,12,0,1,215,64.3,1,20,203,78.3,7.9,16,3,7.1,4,276,216,25,0,,1,9,69,80.6,11.6,8,10.1,2,93,75,12,2019
Jesse Brubaker,50261,ED,TULSA,11,0,0,320,59.9,4,9,234,78.6,6.8,16,2,3.2,1,318,250,14,0,63.6,2,3,58,91.5,13.8,8,4.3,0,71,65,5,2018
Jesse Luketa,81361,ED,PENN STATE,12,0,0,266,68.8,3,8,215,74.6,10.2,22,0,3.0,1,311,232,12,0,69.3,2,3,100,82.8,14.0,14,3.5,1,128,106,6,2021
Jessie Evans,142203,ED,LA TECH,13,1,1,208,65.1,5,23,282,99.7,9.9,28,2,5.3,1,294,293,29,0,72.9,3,15,74,100.0,20.3,15,12.2,0,75,75,18,2024
Jessie Lemonier,82302,ED,LIBERTY,12,0,1,206,72.6,9,24,422,98.2,9.2,39,3,6.5,11,444,436,44,0,,5,19,182,99.5,15.9,29,12.1,10,188,187,34,2019
Jessie Rogers,38763,ED,N CAROLINA,13,0,0,245,57.9,0,18,174,96.8,8.0,14,1,5.7,1,186,180,19,0,60.1,0,8,77,95.3,10.4,8,6.5,1,85,81,9,2015
Jett Johnson,81319,LB,MISS STATE,12,0,0,227,63.4,1,19,133,34.2,7.5,10,0,12.0,6,404,138,26,0,56.9,0,11,60,37.4,8.3,5,12.5,2,163,61,13,2023
Jevon Banks,124157,ED,UCONN,13,2,0,146,68.3,4,9,158,95.9,7.6,12,1,5.4,2,172,165,15,0,67.4,0,4,47,98.0,8.5,4,8.5,2,50,49,6,2024
Jevon Leon,103696,ED,SM HOUSTON,13,0,0,281,77.4,11,15,206,100.0,14.6,30,0,6.8,1,220,220,27,0,82.6,6,6,54,100.0,29.6,16,11.1,0,61,61,12,2024
Jhalyn Shuler,156212,LB,USF,13,0,0,327,66.8,4,10,93,20.6,12.9,12,1,9.7,2,471,97,16,0,69.7,3,6,43,29.9,18.6,8,12.8,1,154,46,10,2023
Jhaustin Thomas,12132,ED,IOWA STATE,12,0,0,193,75.1,3,25,245,98.8,12.2,30,3,7.3,4,259,256,32,0,76.6,0,13,77,100.0,20.8,16,11.0,2,80,80,15,2016
Jherremya Leuta-Douyere,17105,ED,BYU,11,0,0,128,63.3,6,9,109,35.0,14.7,16,0,7.8,1,317,111,16,0,69.2,5,6,45,61.0,20.0,9,12.2,0,77,47,11,2015
Jhi'Shawn Taylor,55190,ED,GA STATE,12,0,0,175,62.2,3,19,233,79.7,9.4,22,2,5.2,1,310,247,23,0,59.1,0,5,79,83.8,11.4,9,4.4,1,99,83,6,2021
Jihaad Campbell,157013,LB,ALABAMA,13,1,1,103,76.3,2,10,95,23.0,12.6,12,5,14.7,8,430,99,20,0,66.6,1,5,47,32.0,12.8,6,17.0,5,150,48,11,2024
Jihad Ward,10678,ED,ILLINOIS,12,1,0,187,59.4,6,16,330,100.0,6.1,20,3,4.2,3,344,344,25,0,56.8,3,6,106,100.0,7.5,8,5.2,1,110,110,10,2015
Jimari Butler,129679,ED,NEBRASKA,11,0,0,238,63.9,5,16,204,98.6,7.8,16,1,6.1,2,215,212,23,0,71.3,4,10,99,99.0,12.1,12,9.1,2,105,104,16,2024
Jimmie Gilbert,12273,ED,COLORADO,14,3,0,143,80.5,6,35,338,72.7,11.8,40,2,9.6,12,480,349,53,1,89.5,4,22,126,79.3,24.6,31,16.7,8,164,130,34,2016
Jimmie Gipson III,20325,ED,S ALABAMA,11,1,0,288,68.9,3,18,203,98.1,12.8,26,1,6.2,2,216,212,23,1,72.7,1,14,86,100.0,20.9,18,11.0,2,93,93,17,2018
Jimmori Robinson,145523,ED,UTSA,12,1,2,331,83.2,6,33,232,82.5,15.1,35,8,12.3,9,303,250,48,1,84.4,2,17,84,89.1,23.8,20,16.1,4,101,90,23,2024
Jimmy Bean,11504,ED,OKLA STATE,8,1,1,262,65.9,5,15,208,92.1,10.1,21,2,7.7,6,242,223,26,0,63.1,3,9,87,93.1,12.6,11,10.3,3,102,95,15,2015
Jimmy Hogan,26869,ED,TEMPLE,12,0,0,306,56.5,0,11,131,100.0,4.6,6,0,5.7,2,138,138,13,0,,0,2,45,100.0,2.2,1,2.2,0,47,47,2,2019
Jimmy Musgrave,19740,LB,UTEP,12,0,0,330,56.1,4,12,114,30.8,6.1,7,1,7.9,1,413,127,17,0,55.0,1,6,48,32.2,6.3,3,7.3,0,177,57,7,2015
Jimmy Scott,162774,ED,PITTSBURGH,13,2,0,268,69.2,7,27,303,99.1,10.9,33,3,7.6,6,321,318,40,0,65.1,3,12,104,98.2,13.5,14,11.1,4,113,111,19,2024
Jireh Ojata,183724,ED,PURDUE,9,0,0,273,59.3,2,6,89,84.9,7.9,7,1,5.6,1,106,90,9,0,61.3,1,5,53,93.0,9.4,5,7.5,1,57,53,7,2024
Jo'Laison Landry,172332,ED,TEXAS ST,13,0,0,314,75.0,7,13,123,86.2,17.9,22,2,12.2,5,152,131,25,0,63.4,3,6,41,97.9,17.1,7,13.4,1,47,46,10,2024
JoJo Dorceus,56701,ED,TULANE,12,0,0,319,58.4,4,16,258,93.1,5.8,15,2,5.0,3,291,271,23,0,60.1,1,11,98,92.0,11.2,11,6.1,0,113,104,12,2021
JoJo Wicker,48510,ED,ARIZONA ST,12,3,3,110,60.1,5,27,456,99.2,6.8,31,4,4.4,4,482,478,36,0,65.1,3,21,171,100.0,14.6,25,7.6,1,180,180,25,2016
Joah Cash,147099,ED,COAST CAR,13,0,1,141,62.2,4,10,100,78.5,10.0,10,2,9.0,2,135,106,16,0,61.3,2,7,41,95.7,17.1,7,15.9,2,46,44,11,2024
Joe Allely,28408,ED,E CAROLINA,11,0,0,156,62.2,2,7,142,70.7,3.5,5,0,5.3,3,215,152,12,0,67.8,1,4,47,76.1,10.6,5,9.6,2,71,54,7,2015
Joe Dillon,49790,ED,LA LAFAYET,11,0,0,207,71.2,5,14,179,66.4,10.1,18,3,7.5,4,283,188,23,0,73.7,3,4,54,79.5,14.8,8,8.3,1,73,58,8,2018
Joe Evans,81247,ED,IOWA,14,3,0,192,78.6,8,27,364,94.5,11.8,43,0,7.6,10,401,379,45,0,77.4,7,16,158,96.4,16.5,26,11.7,7,169,163,30,2023
Joe Gaziano,27949,ED,NWESTERN,14,2,0,256,82.0,13,28,391,82.4,13.3,52,0,7.5,9,500,412,50,0,,2,18,129,96.5,19.4,25,10.9,4,144,139,24,2019
Joe Giles-Harris,39382,LB,DUKE,13,3,0,154,73.2,7,9,76,20.4,5.3,4,3,15.8,4,387,79,20,1,73.4,3,5,43,26.9,7.0,3,16.3,3,160,43,11,2018
