player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures,year
Beau Robbins,101434,ED,INDIANA,10,0,0,190,59.6,0,8,173,99.5,6.4,11,0,2.9,1,186,185,9,0,60.7,0,7,61,98.5,8.2,5,5.7,0,65,64,7,2022
Ben Banogu,26554,ED,TCU,13,0,0,305,69.7,9,43,426,97.4,12.2,52,0,8.0,8,461,449,60,0,,3,17,128,95.8,19.5,25,9.4,2,142,136,22,2019
Ben Bell,122665,ED,TEXAS ST,4,0,1,314,91.1,7,12,105,87.0,29.5,31,4,12.9,4,138,120,23,0,90.3,3,9,41,90.9,39.0,16,24.4,4,55,50,16,2024
Ben Boulware,12090,LB,CLEMSON,14,0,0,140,65.4,4,11,118,24.2,7.6,9,5,9.7,4,530,128,19,0,74.6,0,8,50,36.2,12.0,6,14.0,3,152,55,11,2016
Ben Frye,56969,ED,DUKE,12,2,0,154,55.1,3,11,331,99.1,5.7,19,0,3.0,3,351,348,17,0,58.0,1,6,137,98.6,10.2,14,3.3,1,148,146,8,2021
Ben Goodman,20010,ED,KANSAS,12,0,1,198,70.4,8,33,385,98.3,10.1,39,2,7.1,7,404,397,48,0,72.2,5,14,101,98.1,17.8,18,13.4,4,107,105,23,2015
Ben Humphreys,51027,LB,DUKE,12,0,0,154,65.0,5,9,94,26.8,13.8,13,1,13.8,6,358,96,20,0,55.2,0,4,44,31.9,9.1,4,9.1,2,144,46,6,2016
Ben Kimpler,44103,ED,MIAMI OH,13,0,2,221,61.0,6,19,300,99.4,6.0,18,2,5.2,3,319,317,28,0,64.2,2,14,121,100.0,9.1,11,7.4,1,130,130,17,2021
Ben Kopenski,99303,ED,TULSA,12,0,0,320,90.8,6,29,324,85.1,18.5,60,0,8.5,10,395,336,45,0,92.5,4,16,124,89.9,31.5,39,12.1,5,148,133,25,2023
Ben McNaboe,101505,ED,OHIO,14,2,0,259,87.7,9,32,339,94.1,16.8,57,0,7.8,6,371,349,47,0,89.1,3,15,107,93.3,27.1,29,11.2,3,119,111,21,2024
Ben Smiley III,99845,ED,VIRGINIA,11,0,1,335,66.6,6,7,139,95.5,10.8,15,2,5.4,1,155,148,14,0,67.6,4,4,71,97.4,15.5,11,5.6,0,77,75,8,2024
Bennett Adler,145591,ED,AKRON,12,1,0,102,62.5,2,10,237,94.4,8.0,19,0,4.2,4,266,251,16,0,58.9,0,7,68,92.1,11.8,8,5.1,0,76,70,7,2024
Benning Potoa'e,50195,ED,WASHINGTON,14,1,0,340,62.5,2,23,280,86.5,9.6,27,1,5.2,2,341,295,27,0,,2,12,94,87.4,16.0,15,9.6,2,111,97,16,2019
Bernard Dawson,22865,ED,GA SOUTHRN,11,0,0,174,57.3,4,12,230,99.2,6.1,14,1,3.9,1,245,243,17,0,57.2,4,8,95,100.0,10.5,10,7.4,1,100,100,13,2016
Big Kat Bryant,57725,ED,UCF,13,2,3,323,70.6,14,32,378,89.1,11.1,42,7,7.9,7,440,392,53,1,76.1,11,19,155,89.5,20.6,32,12.3,4,181,162,34,2021
Billy Pullen,184320,ED,LA MONROE,12,0,2,209,68.4,5,22,241,85.1,7.9,19,4,8.9,8,302,257,35,0,75.5,1,12,84,89.3,14.3,12,14.9,6,103,92,19,2024
Blain Padgett,48478,ED,RICE,12,0,0,275,67.4,3,22,201,98.6,11.9,24,0,7.2,2,214,211,27,0,72.0,2,12,58,100.0,22.4,13,12.1,0,63,63,14,2016
Blaine Spires,100324,ED,UTAH ST,11,1,1,329,72.6,3,19,187,88.9,12.8,24,1,8.6,5,217,193,27,0,71.2,2,7,55,86.8,14.5,8,15.5,4,68,59,13,2023
Blake Dees,16069,LB,S ALABAMA,11,0,0,288,47.6,1,2,86,27.9,3.5,3,0,2.9,1,333,93,4,0,54.6,0,1,41,43.6,4.9,2,3.7,1,101,44,2,2015
Blake Green,100962,ED,USF,12,0,0,327,71.3,1,16,226,97.5,10.2,23,2,5.5,4,244,238,21,0,62.7,0,3,41,95.7,14.6,6,6.1,1,46,44,4,2021
Blake Keller,32388,ED,MARSHALL,13,1,0,214,56.6,3,8,219,93.9,5.0,11,0,3.0,1,247,232,12,0,49.4,1,0,62,95.7,0.0,0,0.8,0,70,67,1,2018
Blake Mangelson,147517,ED,BYU,12,1,0,128,68.9,2,11,161,93.5,13.7,22,0,4.7,1,186,174,14,0,63.3,1,5,48,92.9,14.6,7,8.3,1,56,52,7,2023
Blake Purchase,176598,ED,OREGON,14,0,0,264,50.8,5,4,104,85.5,1.9,2,0,5.3,1,131,112,10,0,52.6,4,2,55,91.0,3.6,2,7.3,1,67,61,7,2023
Blake Serpa,16434,ED,C MICHIGAN,12,3,0,134,64.0,6,17,290,99.7,6.9,20,1,5.0,3,303,302,26,0,65.6,5,8,90,98.9,14.4,13,8.3,1,95,94,14,2015
Bo Calvert,81431,ED,UCLA,13,1,0,324,58.7,0,5,159,87.1,5.7,9,1,2.8,2,194,169,7,0,56.2,0,1,46,92.6,6.5,3,3.3,1,54,50,2,2022
Bo Richter,145962,ED,AIR FORCE,13,0,0,101,92.2,9,37,314,84.9,23.2,73,2,10.2,9,385,327,55,0,92.9,3,25,131,88.9,36.6,48,15.3,6,153,136,34,2023
Bobby Roundtree,56638,ED,ILLINOIS,12,6,0,187,67.8,3,20,361,99.7,6.6,24,1,5.7,9,378,377,32,2,,2,10,130,100.0,11.5,15,8.5,5,136,136,17,2019
Boogie Basham,44320,ED,WAKE,7,1,0,339,77.2,4,16,200,96.3,12.0,24,2,7.5,5,217,209,25,0,83.3,2,6,47,96.2,21.3,10,12.8,2,52,50,10,2020
Boone Bonnema,98143,LB,W MICHIGAN,9,0,0,347,52.1,0,13,127,77.3,2.4,3,1,8.3,4,176,136,17,0,58.8,0,10,59,92.9,5.1,3,13.6,3,70,65,13,2023
Boosie Whitlow,36263,ED,S CAROLINA,12,1,0,289,58.2,3,10,146,95.5,4.8,7,0,5.1,1,154,147,14,0,60.3,3,8,86,95.6,7.0,6,7.6,1,90,86,12,2015
Boris Anyama,10184,LB,LA LAFAYET,13,1,0,207,68.0,4,19,154,63.5,11.7,18,0,8.8,2,252,160,25,1,70.5,3,9,67,87.2,16.4,11,11.9,2,78,68,14,2014
Boye Mafe,55220,ED,MINNESOTA,13,0,0,225,81.7,9,26,240,86.0,15.8,38,2,10.2,7,299,257,42,0,87.6,4,16,97,91.0,20.6,20,14.4,4,111,101,24,2021
Brad Earnest,29130,ED,MIAMI OH,10,0,0,221,55.9,1,4,108,93.5,4.6,5,3,2.3,0,124,116,5,0,58.9,0,3,44,95.9,9.1,4,3.4,0,49,47,3,2018
Brad Johnson,56831,ED,S CAROLINA,13,0,0,289,64.6,5,11,174,84.7,6.3,11,0,5.7,2,222,188,18,0,,1,7,63,89.5,11.1,7,7.9,1,76,68,9,2019
Braden Siders,128432,ED,WYOMING,12,1,0,351,63.4,2,9,191,83.8,7.9,15,1,5.0,4,240,201,15,0,64.1,0,5,51,85.9,11.8,6,10.8,3,64,55,8,2023
Bradlee Anae,43982,ED,UTAH,14,1,1,328,80.0,8,36,437,92.9,16.0,70,5,7.6,11,495,460,55,0,,5,23,204,92.7,24.5,50,11.3,9,233,216,37,2019
Bradley Chubb,48526,ED,NC STATE,12,2,0,248,90.0,19,30,358,88.8,16.2,58,3,9.6,10,429,381,59,2,80.3,5,11,112,88.9,22.3,25,11.6,5,135,120,21,2018
Bradley Weaver,145884,ED,OHIO,13,0,0,259,75.8,10,29,363,97.9,13.2,48,2,8.1,10,385,377,49,0,75.5,3,15,120,98.4,16.7,20,12.5,6,127,125,24,2024
Brady Nassar,175760,ED,S DIEGO ST,12,0,0,284,56.3,0,14,144,96.8,6.3,9,0,5.6,1,156,151,15,0,58.9,0,8,46,97.9,15.2,7,8.7,0,48,47,8,2024
Bradyn Swinson,131726,ED,LSU,13,0,0,211,90.3,8,43,298,87.9,22.1,66,1,11.6,9,356,313,60,0,91.4,6,29,126,93.7,34.1,43,18.7,6,143,134,41,2024
Braiden McGregor,129586,ED,MICHIGAN,15,3,0,222,75.1,5,18,228,93.0,14.5,33,0,7.2,5,257,239,28,2,74.5,1,12,106,94.0,19.8,21,9.9,4,117,110,17,2023
Bralen Trice,100550,ED,WASHINGTON,15,1,0,340,90.8,19,53,500,91.1,17.6,88,3,8.8,8,586,534,80,0,91.9,13,28,171,94.2,29.2,50,14.3,4,208,196,45,2023
Branden Jackson,11394,ED,TEXAS TECH,12,2,0,315,61.4,3,24,329,79.8,7.3,24,1,5.6,5,435,347,32,1,58.4,2,11,115,95.3,7.8,9,7.4,2,128,122,15,2014
Branden Jennings,144903,ED,MISS STATE,12,1,0,227,63.2,4,12,186,74.4,8.6,16,0,5.4,2,266,198,18,1,61.1,2,8,68,89.3,13.2,9,8.8,1,84,75,11,2024
Brandon Agomuo,26740,ED,NEW MEX ST,11,0,0,242,53.2,0,7,234,98.4,3.0,7,2,1.9,1,248,244,8,0,53.1,0,2,49,100.0,4.1,2,2.0,0,49,49,2,2014
Brandon Barlow,43762,ED,BOSTON COL,12,0,0,121,58.1,2,10,244,95.6,4.5,11,0,3.7,3,271,259,15,0,60.8,2,6,80,94.4,7.5,6,6.3,1,90,85,9,2021
Brandon Berger,130326,ED,BALL ST,12,5,0,117,71.3,6,16,292,94.2,9.9,29,2,5.1,4,328,309,26,2,69.0,3,12,107,95.8,14.0,15,7.9,1,119,114,16,2024
Brandon Berry,56854,ED,SYRACUSE,11,0,0,304,53.5,5,6,214,95.2,2.8,6,0,2.6,0,230,219,11,0,56.5,3,2,55,93.4,5.5,3,4.5,0,61,57,5,2018
Brandon Bouyer-Randle,42637,LB,UCONN,13,1,0,146,64.2,3,11,153,41.8,9.2,14,0,5.2,1,388,162,15,0,65.7,3,5,77,62.1,15.6,12,5.2,0,132,82,8,2022
Brandon Buckner,146539,ED,MIDDLE TN,12,0,0,224,61.4,3,15,230,87.5,8.3,19,0,5.2,3,273,239,21,0,64.3,2,7,77,87.9,13.0,10,8.4,2,91,80,11,2024
Brandon Chubb,11183,LB,WAKE,12,1,0,339,69.7,5,11,78,24.9,14.1,11,1,12.8,2,333,83,18,0,62.6,1,7,46,53.8,15.2,7,8.7,0,91,49,8,2015
Brandon Coleman,97719,ED,KENT STATE,14,0,0,201,56.3,1,3,187,83.3,5.3,10,0,2.7,3,245,204,7,0,55.4,0,1,67,87.4,7.5,5,3.7,2,87,76,3,2021
Brandon Crawford,48449,ED,BUFFALO,12,1,0,126,78.7,8,13,192,99.0,12.0,23,0,7.6,4,207,205,25,0,75.8,5,6,79,98.8,19.0,15,9.5,2,86,85,13,2016
Brandon Dorlus,100452,ED,OREGON,13,2,0,264,72.8,4,40,374,96.1,12.6,47,2,6.4,2,412,396,46,1,71.5,2,22,135,96.6,15.6,21,9.6,1,146,141,25,2022
Brandon Garner,51017,LB,N TEXAS,13,1,0,251,67.9,7,22,185,38.2,8.6,16,2,11.6,7,505,193,36,0,,2,1,63,44.2,15.9,10,10.3,5,154,68,8,2019
Brandon George,99759,LB,PITTSBURGH,13,0,0,268,64.1,8,16,124,31.5,8.1,10,3,11.3,2,422,133,26,0,68.9,3,6,45,34.5,8.9,4,12.2,1,142,49,10,2024
Brandon Hughes,50240,ED,FRESNO ST,14,0,0,169,66.7,6,9,125,52.6,8.8,11,0,8.4,3,247,130,18,0,66.9,2,7,60,68.1,10.0,6,10.8,2,91,62,11,2014
Brandon Mack,99105,ED,HOUSTON,12,0,0,182,56.1,2,9,183,71.7,5.5,10,2,5.7,5,276,198,16,0,58.9,1,5,67,81.5,9.0,6,7.5,2,92,75,8,2024
Brandon Wright,101650,ED,MICH STATE,11,1,0,223,63.3,2,18,177,98.4,11.3,20,1,7.3,3,186,183,23,0,64.8,1,12,97,99.0,15.5,15,9.8,3,102,101,16,2023
Braxten Croteau,100417,ED,CAL,12,0,0,130,51.0,2,4,186,89.0,3.2,6,0,1.6,0,227,202,6,0,53.0,2,3,84,95.7,4.8,4,3.0,0,93,89,5,2021
